card name,average price,market price,foil price
Royal Assassin,"AVERAGE
$3.49","MARKET
$3.03","FOIL
$5.12"
Runeclaw Bear,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.31"
Safe Passage,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.31"
Sage Owl,"AVERAGE
$0.24","MARKET
$0.13","FOIL
$0.45"
Sanguine Bond,"AVERAGE
$3.33","MARKET
$3.81","FOIL
$9.03"
Seismic Strike,"AVERAGE
$3.33","MARKET
$3.81","FOIL
$9.03"
Serpent of the Endless Sea,"AVERAGE
$0.24","MARKET
$0.16",None
Serra Angel,"AVERAGE
$0.30","MARKET
$0.32",None
Shatter,"AVERAGE
$0.30","MARKET
$0.32",None
Shivan Dragon,"AVERAGE
$5.52","MARKET
$5.55",None
Siege Mastodon,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Siege-Gang Commander,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Sign in Blood,"AVERAGE
$0.72","MARKET
$1.40",None
Silence,"AVERAGE
$0.29","MARKET
$0.24","FOIL
$0.98"
Silvercoat Lion,"AVERAGE
$0.47","MARKET
$0.32","FOIL
$1.92"
Sleep,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.43"
Snapping Drake,"AVERAGE
$0.17","MARKET
$0.03","FOIL
$0.25"
Solemn Offering,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.30"
Soul Bleed,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.39"
Soul Warden,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.39"
Sparkmage Apprentice,"AVERAGE
$0.85","MARKET
$0.87","FOIL
$6.10"
Spellbook,"AVERAGE
$2.30","MARKET
$2.34","FOIL
$6.60"
Sphinx Ambassador,"AVERAGE
$2.30","MARKET
$2.34","FOIL
$6.60"
Stampeding Rhino,"AVERAGE
$6.57","MARKET
$0.14","FOIL
$0.29"
Stone Giant,"AVERAGE
$0.20","MARKET
$0.14","FOIL
$0.29"
Stormfront Pegasus,"AVERAGE
$0.24","MARKET
$0.08","FOIL
$0.42"
Sunpetal Grove,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.42"
Swamp,"AVERAGE
$0.22","MARKET
$0.10",None
Telepathy,"AVERAGE
$0.22","MARKET
$0.10",None
Tempest of Light,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.44"
Tendrils of Corruption,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.44"
Terramorphic Expanse,"AVERAGE
$0.27","MARKET
$0.26","FOIL
$1.75"
Time Warp,"AVERAGE
$17.50","MARKET
$16.59","FOIL
$95.99"
Tome Scour,"AVERAGE
$17.50","MARKET
$16.59","FOIL
$95.99"
Traumatize,"AVERAGE
$0.26","MARKET
$0.22","FOIL
$1.63"
Trumpet Blast,"AVERAGE
$2.87","MARKET
$2.41","FOIL
$4.99"
Twincast,"AVERAGE
$0.18","MARKET
$0.04","FOIL
$0.30"
Undead Slayer,"AVERAGE
$9.35","MARKET
$10.10","FOIL
$24.10"
Underworld Dreams,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.46"
Unholy Strength,"AVERAGE
$1.70","MARKET
$1.64","FOIL
$10.02"
Unsummon,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.52"
Vampire Aristocrat,"AVERAGE
$0.25","MARKET
$0.17",None
Vampire Nocturnus,"AVERAGE
$0.21","MARKET
$0.08","FOIL
$0.38"
Veteran Armorsmith,"AVERAGE
$0.24","MARKET
$0.17","FOIL
$0.50"
Veteran Swordsmith,"AVERAGE
$0.24","MARKET
$0.21","FOIL
$1.96"
Viashino Spearhunter,"AVERAGE
$0.24","MARKET
$0.21","FOIL
$1.96"
Wall of Bone,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.30"
Wall of Faith,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.35"
Wall of Fire,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.35"
Wall of Frost,"AVERAGE
$0.30","MARKET
$0.23","FOIL
$0.91"
Warp World,"AVERAGE
$0.75","MARKET
$0.72","FOIL
$5.12"
Warpath Ghoul,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.29"
Weakness,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.29"
Whispersilk Cloak,"AVERAGE
$0.18","MARKET
$0.03","FOIL
$0.28"
White Knight,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.67"
Wind Drake,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.40"
Windstorm,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.40"
Wurm's Tooth,"AVERAGE
$0.25","MARKET
$0.08","FOIL
$0.40"
Xathrid Demon,"AVERAGE
$0.94","MARKET
$0.56","FOIL
$3.53"
Yawning Fissure,"AVERAGE
$0.94","MARKET
$0.56","FOIL
$3.53"
Zephyr Sprite,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$1.38"
Zombie Goliath,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.25"
Acidic Slime,"AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
Act of Treason,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
Æther Adept (Aether Adept),"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
Air Servant,"AVERAGE
$0.24","MARKET
$0.17","FOIL
$1.17"
Ajani Goldmane,None,"MARKET
$13.67","FOIL
$12.47"
Ajani's Mantra,None,"MARKET
$13.67","FOIL
$12.47"
Ajani's Pridemate,"AVERAGE
$0.32","MARKET
$0.21","FOIL
$0.97"
Alluring Siren,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
Ancient Hellkite,"AVERAGE
$0.24","MARKET
$0.31","FOIL
$0.65"
Angelic Arbiter,"AVERAGE
$1.92","MARKET
$2.02","FOIL
$3.84"
Angel's Feather,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
Arc Runner,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
Armored Ascension,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
Armored Cancrix,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$0.78"
