card name,average price,market price,foil price
Sun Titan,"AVERAGE
$1.84","MARKET
$1.60","FOIL
$9.74"
Sundial of the Infinite,"AVERAGE
$5.20","MARKET
$4.58","FOIL
$13.27"
Sunpetal Grove,"AVERAGE
$3.77","MARKET
$3.59","FOIL
$7.50"
Sutured Ghoul,"AVERAGE
$3.77","MARKET
$3.59","FOIL
$0.74"
Swamp,"AVERAGE
$0.22","MARKET
$0.10",None
Swiftfoot Boots,"AVERAGE
$2.50","MARKET
$1.92","FOIL
$13.08"
Taste of Blood,"AVERAGE
$2.50","MARKET
$1.92","FOIL
$0.29"
Tectonic Rift,"AVERAGE
$0.17","MARKET
$0.01","FOIL
$0.28"
Thran Golem,"AVERAGE
$0.17","MARKET
$0.01","FOIL
$0.28"
Throne of Empires,"AVERAGE
$0.24","MARKET
$0.07","FOIL
$0.35"
Time Reversal,"AVERAGE
$3.99","MARKET
$6.03","FOIL
$8.24"
Timely Reinforcements,"AVERAGE
$1.32","MARKET
$1.25","FOIL
$16.91"
Titanic Growth,"AVERAGE
$1.32","MARKET
$1.25","FOIL
$16.91"
Tormented Soul,"AVERAGE
$0.25","MARKET
$0.20","FOIL
$0.50"
Trollhide,"AVERAGE
$0.25","MARKET
$0.20","FOIL
$0.26"
Turn to Frog,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.42"
Unsummon,"AVERAGE
$0.25","MARKET
$0.17",None
Vampire Outcasts,"AVERAGE
$0.24","MARKET
$0.10","FOIL
$0.34"
Vastwood Gorger,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.26"
Vengeful Pharaoh,"AVERAGE
$1.72","MARKET
$1.59","FOIL
$4.55"
Visions of Beyond,"AVERAGE
$1.72","MARKET
$1.59","FOIL
$4.55"
Volcanic Dragon,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.48"
Wall of Torches,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.30"
Warpath Ghoul,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.29"
Warstorm Surge,"AVERAGE
$1.23","MARKET
$1.05","FOIL
$13.35"
Worldslayer,"AVERAGE
$2.80","MARKET
$3.01","FOIL
$12.67"
Wring Flesh,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.29"
Wurm's Tooth,"AVERAGE
$0.24","MARKET
$0.08","FOIL
$0.33"
Zombie Goliath,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.25"
Zombie Infestation,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$1.34"
Acidic Slime,"AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
"Ajani, Caller of the Pride","AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
Ajani's Sunstriker,"AVERAGE
$4.04","MARKET
$3.80","FOIL
$0.54"
Akroma's Memorial,"AVERAGE
$19.77","MARKET
$20.77","FOIL
$50.20"
Angelic Benediction,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.43"
Angel's Mercy,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
Arbor Elf,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
Archaeomancer,"AVERAGE
$0.67","MARKET
$0.60","FOIL
$17.24"
Arctic Aven,"AVERAGE
$18.47","MARKET
$17.37",None
Arms Dealer,"AVERAGE
$0.28","MARKET
$0.18","FOIL
$0.70"
Attended Knight,"AVERAGE
$0.22","MARKET
$0.11","FOIL
$0.64"
Augur of Bolas,"AVERAGE
$0.22","MARKET
$0.11","FOIL
$0.64"
Aven Squire,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.35"
Battle of Wits,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.35"
Battleflight Eagle,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.29"
Bladetusk Boar,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.28"
Blood Reckoning,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.28"
Bloodhunter Bat,"AVERAGE
$0.31","MARKET
$0.27","FOIL
$0.60"
Bloodthrone Vampire,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.39"
Bond Beetle,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.39"
Boundless Realms,"AVERAGE
$0.24","MARKET
$0.17","FOIL
$0.83"
Bountiful Harvest,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.30"
Canyon Minotaur,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.29"
Captain of the Watch,"AVERAGE
$0.67","MARKET
$0.53","FOIL
$1.85"
Captain's Call,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.42"
Cathedral of War,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.42"
Centaur Courser,"AVERAGE
$0.18","MARKET
$0.02","FOIL
$0.25"
"Chandra, the Firebrand","AVERAGE
$2.00","MARKET
$1.65","FOIL
$6.75"
Chandra's Fury,"AVERAGE
$2.00","MARKET
$0.07","FOIL
$0.29"
Chronomaton,"AVERAGE
$0.18","MARKET
$0.07","FOIL
$0.29"
Cleaver Riot,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.35"
Clock of Omens,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$5.97"
Clone,"AVERAGE
$0.49","MARKET
$0.42","FOIL
$0.95"
Courtly Provocateur,"AVERAGE
$0.24","MARKET
$0.10","FOIL
$0.43"
Cower in Fear,"AVERAGE
$0.24","MARKET
$0.04","FOIL
$0.32"
Craterize,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.27"
Crimson Muckwader,"AVERAGE
$0.24","MARKET
$0.05","FOIL
$0.38"
Crippling Blight,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.29"
Crusader of Odric,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.83"
Dark Favor,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.26"
Deadly Recluse,"AVERAGE
$0.24","MARKET
$0.21","FOIL
$0.59"
Diabolic Revelation,"AVERAGE
$0.24","MARKET
$0.21","FOIL
$0.59"
Disciple of Bolas,"AVERAGE
$2.03","MARKET
$1.97","FOIL
$4.75"
Disentomb,"AVERAGE
$0.19","MARKET
$0.10","FOIL
$0.33"
Divination,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.45"
Divine Favor,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.28"
Divine Verdict,"AVERAGE
$0.25","MARKET
$0.16",None
Door to Nothingness,"AVERAGE
$0.25","MARKET
$0.16",None
Downpour,"AVERAGE
$1.54","MARKET
$1.51","FOIL
$5.11"
Dragon Hatchling,"AVERAGE
$0.19","MARKET
$0.08","FOIL
$0.31"
Dragonskull Summit,"AVERAGE
$4.17","MARKET
$4.34","FOIL
$5.76"
Drowned Catacomb,"AVERAGE
$6.99","MARKET
$7.02","FOIL
$12.93"
Duress,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.50"
Duskdale Wurm,"AVERAGE
$0.24","MARKET
$0.04","FOIL
$0.31"
Duskmantle Prowler,"AVERAGE
$0.24","MARKET
$0.04","FOIL
$0.31"
Duty-Bound Dead,"AVERAGE
$0.19","MARKET
$0.13","FOIL
$0.39"
Elderscale Wurm,"AVERAGE
$2.00","MARKET
$2.74","FOIL
$4.93"
Elixir of Immortality,"AVERAGE
$0.77","MARKET
$0.55","FOIL
$4.11"
Elvish Archdruid,"AVERAGE
$1.80","MARKET
$1.56","FOIL
$6.19"
Elvish Visionary,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.95"
Encrust,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.95"
Erase,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.39"
Essence Drain,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.28"
Essence Scatter,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.52"
Evolving Wilds,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.50"
Faerie Invaders,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.29"
Faith's Reward,"AVERAGE
$1.92","MARKET
$1.93","FOIL
$3.49"
Farseek,"AVERAGE
$1.87","MARKET
$1.50","FOIL
$6.16"
Fervor,"AVERAGE
$1.87","MARKET
$1.50","FOIL
$6.16"
Fire Elemental,"AVERAGE
$3.29","MARKET
$3.63","FOIL
$7.00"
Firewing Phoenix,"AVERAGE
$0.16","MARKET
$0.02","FOIL
$0.25"
Flames of the Firebrand,"AVERAGE
$0.35","MARKET
$0.16","FOIL
$0.84"
Flinthoof Boar,"AVERAGE
$0.26","MARKET
$0.08","FOIL
$0.85"
Fog,"AVERAGE
$1.54","MARKET
$1.39",None
Fog Bank,"AVERAGE
$1.54","MARKET
$1.39","FOIL
$1.31"
Forest,"AVERAGE
$1.64","MARKET
$1.33",None
Fungal Sprouting,"AVERAGE
$0.72","MARKET
$0.83","FOIL
$2.29"
Furnace Whelp,"AVERAGE
$0.72","MARKET
$0.83","FOIL
$2.29"
"Garruk, Primal Hunter","AVERAGE
$2.99","MARKET
$2.64","FOIL
$13.99"
Garruk's Packleader,"AVERAGE
$0.29","MARKET
$0.20",None
Gem of Becoming,"AVERAGE
$0.29","MARKET
$0.20",None
Giant Scorpion,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.25"
Gilded Lotus,"AVERAGE
$5.03","MARKET
$4.95","FOIL
$8.99"
Glacial Fortress,"AVERAGE
$5.05","MARKET
$5.23","FOIL
$10.03"
Glorious Charge,"AVERAGE
$0.19","MARKET
$0.13","FOIL
$0.30"
Goblin Arsonist,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.46"
Goblin Battle Jester,"AVERAGE
$0.20","MARKET
$0.11","FOIL
$0.29"
Griffin Protector,"AVERAGE
$0.20","MARKET
$0.11","FOIL
$0.25"
Ground Seal,"AVERAGE
$0.46","MARKET
$0.30","FOIL
$1.15"
Guardian Lions,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.34"
Guardians of Akrasa,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.29"
Hamletback Goliath,"AVERAGE
$0.35","MARKET
$0.18","FOIL
$0.74"
Harbor Bandit,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.38"
Harbor Serpent,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.33"
Healer of the Pride,"AVERAGE
$0.41","MARKET
$0.36","FOIL
$1.44"
Hellion Crucible,"AVERAGE
$0.41","MARKET
$0.20","FOIL
$0.82"
Hydrosurge,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.26"
Index,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.26"
Intrepid Hero,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.38"
Island,"AVERAGE
$800.97","MARKET
$731.91",None
"Jace, Memory Adept","AVERAGE
$6.75","MARKET
$7.03","FOIL
$12.11"
Jace's Phantasm,"AVERAGE
$6.75","MARKET
$7.03","FOIL
$2.10"
Jayemdae Tome,"AVERAGE
$0.24","MARKET
$0.11","FOIL
$0.33"
Kindled Fury,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.30"
Kitesail,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.50"
Knight of Glory,"AVERAGE
$0.30","MARKET
$0.19","FOIL
$1.71"
Knight of Infamy,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$1.32"
Kraken Hatchling,"AVERAGE
$0.25","MARKET
$0.07","FOIL
$0.33"
"Krenko, Mob Boss","AVERAGE
$5.28","MARKET
$5.69","FOIL
$8.29"
Krenko's Command,"AVERAGE
$0.35","MARKET
$0.31","FOIL
$7.29"
Liliana of the Dark Realms,"AVERAGE
$0.35","MARKET
$0.31","FOIL
$7.29"
Liliana's Shade,"AVERAGE
$20.99","MARKET
$21.02","FOIL
$53.99"
Magmaquake,"AVERAGE
$0.35","MARKET
$0.24","FOIL
$0.80"
Mark of Mutiny,"AVERAGE
$0.35","MARKET
$0.24","FOIL
$0.80"
Mark of the Vampire,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.40"
Master of the Pearl Trident,"AVERAGE
$3.80","MARKET
$3.40","FOIL
$21.92"
Merfolk of the Pearl Trident,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.29"
Mind Rot,"AVERAGE
$0.16","MARKET
$0.01","FOIL
$0.25"
Mind Sculpt,"AVERAGE
$0.16","MARKET
$0.01","FOIL
$0.25"
Mindclaw Shaman,"AVERAGE
$0.32","MARKET
$0.24","FOIL
$1.46"
Mogg Flunkies,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.27"
Mountain,"AVERAGE
$2.51","MARKET
$2.61",None
Murder,"AVERAGE
$2.51","MARKET
$2.61","FOIL
$0.39"
Mutilate,"AVERAGE
$1.60","MARKET
$1.94","FOIL
$3.28"
Mwonvuli Beast Tracker,"AVERAGE
$0.36","MARKET
$0.30","FOIL
$0.48"
Naturalize,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.32"
"Nefarox, Overlord of Grixis","AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.32"
Negate,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.55"
"Nicol Bolas, Planeswalker","AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.55"
Oblivion Ring,"AVERAGE
$0.41","MARKET
$0.28","FOIL
$1.13"
"Odric, Master Tactician","AVERAGE
$0.69","MARKET
$0.41","FOIL
$1.00"
Omniscience,"AVERAGE
$25.95","MARKET
$21.13","FOIL
$46.89"
Pacifism,"AVERAGE
$0.17","MARKET
$0.06","FOIL
$0.30"
Phylactery Lich,"AVERAGE
$0.36","MARKET
$0.18","FOIL
$0.69"
Phyrexian Hulk,"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.49"
Pillarfield Ox,"AVERAGE
$0.20","MARKET
$0.02","FOIL
$0.26"
Plains,None,"MARKET
$3.90","FOIL
$4.00"
Planar Cleansing,"AVERAGE
$0.42","MARKET
$0.24","FOIL
$0.74"
Plummet,"AVERAGE
$0.16","MARKET
$0.02","FOIL
$0.25"
Predatory Rampage,"AVERAGE
$0.16","MARKET
$0.02","FOIL
$0.25"
Prey Upon,"AVERAGE
$0.35","MARKET
$0.27","FOIL
$0.66"
Primal Clay,"AVERAGE
$0.20","MARKET
$0.08",None
Primal Huntbeast,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.29"
Primordial Hydra,"AVERAGE
$19.77","MARKET
$18.97","FOIL
$52.78"
Prized Elephant,"AVERAGE
$19.77","MARKET
$18.97","FOIL
$52.78"
Public Execution,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.37"
Quirion Dryad,"AVERAGE
$0.25","MARKET
$0.06","FOIL
$0.35"
Rain of Blades,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.46"
Rancor,"AVERAGE
$1.11","MARKET
$0.85","FOIL
$2.31"
Ranger's Path,"AVERAGE
$0.26","MARKET
$0.21","FOIL
$2.09"
Ravenous Rats,"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.45"
Reckless Brute,"AVERAGE
$0.23","MARKET
$0.10","FOIL
$0.45"
Redirect,"AVERAGE
$0.50","MARKET
$0.35","FOIL
$0.99"
Reliquary Tower,"AVERAGE
$2.40","MARKET
$1.84","FOIL
$4.11"
Reverberate,"AVERAGE
$4.89","MARKET
$4.51","FOIL
$6.99"
Revive,"AVERAGE
$4.89","MARKET
$4.51","FOIL
$6.99"
Rewind,"AVERAGE
$0.25","MARKET
$0.16","FOIL
$0.46"
Rhox Faithmender,"AVERAGE
$0.35","MARKET
$0.20","FOIL
$0.50"
Ring of Evos Isle,"AVERAGE
$4.66","MARKET
$4.94","FOIL
$8.23"
Ring of Kalonia,"AVERAGE
$0.29","MARKET
$0.26","FOIL
$0.79"
Ring of Thune,"AVERAGE
$0.32","MARKET
$0.15","FOIL
$1.74"
Ring of Valkas,"AVERAGE
$0.26","MARKET
$0.19","FOIL
$4.14"
Ring of Xathrid,"AVERAGE
$0.54","MARKET
$0.46","FOIL
$3.85"
Rise from the Grave,"AVERAGE
$0.23","MARKET
$0.07","FOIL
$0.35"
Roaring Primadox,"AVERAGE
$0.23","MARKET
$0.07","FOIL
$0.35"
Rootbound Crag,"AVERAGE
$3.49","MARKET
$3.03","FOIL
$5.12"
Rummaging Goblin,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.32"
Safe Passage,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.32"
Sands of Delirium,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.32"
Scroll Thief,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.34"
Searing Spear,"AVERAGE
$0.20","MARKET
$0.10",None
Sentinel Spider,"AVERAGE
$0.20","MARKET
$0.10",None
Serpent's Gift,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.29"
Serra Angel,"AVERAGE
$0.30","MARKET
$0.32",None
Serra Avatar,"AVERAGE
$0.30","MARKET
$0.32",None
Serra Avenger,"AVERAGE
$0.92","MARKET
$0.78","FOIL
$2.60"
Servant of Nefarox,"AVERAGE
$1.24","MARKET
$1.18","FOIL
$4.47"
Shimian Specter,"AVERAGE
$0.35","MARKET
$0.16","FOIL
$0.68"
Show of Valor,"AVERAGE
$0.35","MARKET
$0.16","FOIL
$0.68"
Sign in Blood,"AVERAGE
$0.29","MARKET
$0.24","FOIL
$0.98"
Silklash Spider,"AVERAGE
$0.29","MARKET
$0.24","FOIL
$3.50"
Silvercoat Lion,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.43"
Sleep,"AVERAGE
$1.00","MARKET
$0.85","FOIL
$20.60"
Slumbering Dragon,"AVERAGE
$3.00","MARKET
$2.77","FOIL
$5.64"
Smelt,"AVERAGE
$3.00","MARKET
$2.77","FOIL
$5.64"
Spelltwine,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.44"
Sphinx of Uthuun,"AVERAGE
$0.31","MARKET
$0.15","FOIL
$0.54"
Spiked Baloth,"AVERAGE
$0.31","MARKET
$0.15","FOIL
$0.54"
Staff of Nin,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.27"
Stormtide Leviathan,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$2.66"
Stuffy Doll,"AVERAGE
$4.84","MARKET
$5.13","FOIL
$10.24"
Sublime Archangel,"AVERAGE
$2.74","MARKET
$2.12","FOIL
$8.21"
Sunpetal Grove,"AVERAGE
$3.77","MARKET
$3.59","FOIL
$7.50"
Swamp,"AVERAGE
$0.22","MARKET
$0.10",None
Switcheroo,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.44"
"Talrand, Sky Summoner","AVERAGE
$0.25","MARKET
$0.37","FOIL
$1.00"
Talrand's Invocation,"AVERAGE
$0.67","MARKET
$0.37","FOIL
$1.00"
Thragtusk,"AVERAGE
$0.25","MARKET
$0.11","FOIL
$0.63"
Thundermaw Hellkite,"AVERAGE
$4.15","MARKET
$3.33","FOIL
$12.97"
Timberpack Wolf,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.30"
Titanic Growth,"AVERAGE
$0.17","MARKET
$0.02","FOIL
$0.29"
Torch Fiend,"AVERAGE
$0.17","MARKET
$0.02","FOIL
$0.29"
Tormented Soul,"AVERAGE
$0.25","MARKET
$0.20","FOIL
$0.50"
Tormod's Crypt,"AVERAGE
$0.40","MARKET
$0.31","FOIL
$0.83"
Touch of the Eternal,"AVERAGE
$0.40","MARKET
$0.31","FOIL
$0.83"
Trading Post,"AVERAGE
$0.66","MARKET
$0.55","FOIL
$3.59"
Tricks of the Trade,"AVERAGE
$0.66","MARKET
$0.55","FOIL
$3.59"
Trumpet Blast,"AVERAGE
$0.18","MARKET
$0.04","FOIL
$0.30"
Turn to Slag,"AVERAGE
$0.18","MARKET
$0.02","FOIL
$0.27"
Unsummon,"AVERAGE
$0.25","MARKET
$0.17",None
Vampire Nighthawk,"AVERAGE
$0.25","MARKET
$0.17",None
Vampire Nocturnus,"AVERAGE
$8.06","MARKET
$8.23","FOIL
$10.73"
Vastwood Gorger,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.26"
Vedalken Entrancer,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.26"
Veilborn Ghoul,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.34"
Vile Rebirth,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.36"
Void Stalker,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.36"
Volcanic Geyser,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.36"
Volcanic Strength,"AVERAGE
$0.19","MARKET
$0.08","FOIL
$0.32"
Walking Corpse,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
Wall of Fire,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.26"
War Falcon,"AVERAGE
$0.22","MARKET
$0.12","FOIL
$0.49"
War Priest of Thune,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.47"
Warclamp Mastiff,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.29"
Watercourser,"AVERAGE
$0.18","MARKET
$0.03","FOIL
$0.26"
Welkin Tern,"AVERAGE
$0.18","MARKET
$0.15","FOIL
$0.29"
Wild Guess,"AVERAGE
$0.18","MARKET
$0.15","FOIL
$0.58"
Wind Drake,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.40"
Wit's End,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.40"
Worldfire,"AVERAGE
$0.39","MARKET
$0.24","FOIL
$7.98"
Xathrid Gorgon,"AVERAGE
$1.39","MARKET
$0.28","FOIL
$0.54"
"Yeva, Nature's Herald","AVERAGE
$0.35","MARKET
$0.28","FOIL
$4.98"
Yeva's Forcemage,"AVERAGE
$3.63","MARKET
$3.63","FOIL
$4.98"
Zombie Goliath,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.25"
